"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs56167332-<b>?</b>,"3 x 10-43","(subset analysis)",NR,'-,'-,'-,AC008691.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:159400761
rs12188300-<b>?</b>,"3 x 10-34","(subset analysis)",NR,'-,'-,'-,AC008691.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:159402519
rs4921482-<b>?</b>,"9 x 10-25","(subset analysis)",NR,'-,'-,'-,AC008691.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:159337470
rs6556411-<b>?</b>,"3 x 10-11","(subset analysis)",NR,'-,'-,'-,AC008691.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:159356215
rs72812861-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,CPEB4,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,5:173960506
rs1267499-<b>?</b>,"1 x 10-11","(subset analysis)",NR,'-,'-,'-,AL138720.1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:14715651
rs2328530-<b>?</b>,"1 x 10-17","(subset analysis)",NR,'-,'-,'-,CDKAL1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:20643496
rs714830-<b>?</b>,"5 x 10-9","(subset analysis)",NR,'-,'-,'-,CDKAL1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:20624151
rs71559680-<b>?</b>,"6 x 10-12","(subset analysis)",NR,'-,'-,'-,"AL031767.2, LINC00581","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:21430497
rs72928038-<b>?</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,BACH2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,6:90267049
rs11190133-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,"AL391684.1, LINC01475","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,10:99518968
rs10743181-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,"MIR4686, ASCL2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:2208529
rs11229555-<b>?</b>,"4 x 10-8","(subset analysis)",NR,'-,'-,'-,GLYAT,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:58641214
rs10750899-<b>?</b>,"2 x 10-7","(subset analysis)",NR,'-,'-,'-,"OR5B21, LPXN","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:58517478
rs11230563-<b>?</b>,"5 x 10-15","(subset analysis)",NR,'-,'-,'-,CD6,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:61008737
rs174535-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"TMEM258, MYRF","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:61783884
rs559928-<b>?</b>,"8 x 10-14","(subset analysis)",NR,'-,'-,'-,"RPS6KA4, LINC02723","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:64382898
rs568617-<b>?</b>,"4 x 10-8","(subset analysis)",NR,'-,'-,'-,FIBP,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:65885771
rs11236797-<b>?</b>,"3 x 10-43","(subset analysis)",NR,'-,'-,'-,"AP001189.2, EMSY","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:76588605
rs7115956-<b>?</b>,"8 x 10-12","(subset analysis)",NR,'-,'-,'-,RDX,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:110085620
rs4561177-<b>?</b>,"1 x 10-9","(subset analysis)",NR,'-,'-,'-,RDX,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:110091706
rs661054-<b>?</b>,"2 x 10-14","(subset analysis)",NR,'-,'-,'-,NXPE1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:114559688
rs7933433-<b>?</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,"ETS1, LINC02098","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:128324555
rs11221332-<b>?</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,ETS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:128511079
rs11221322-<b>?</b>,"1 x 10-6","(subset analysis)",NR,'-,'-,'-,ETS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,11:128476898
rs1860545-<b>?</b>,"3 x 10-17","(subset analysis)",NR,'-,'-,'-,TNFRSF1A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:6337611
rs11616188-<b>?</b>,"3 x 10-14","(subset analysis)",NR,'-,'-,'-,"LTBR, AC005840.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:6393576
rs7313895-<b>?</b>,"4 x 10-17","(subset analysis)",NR,'-,'-,'-,LRRK2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:40350592
rs11168249-<b>?</b>,"6 x 10-9","(subset analysis)",NR,'-,'-,'-,HDAC7,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:47814585
rs11614178-<b>?</b>,"2 x 10-34","(subset analysis)",NR,'-,'-,'-,IFNG-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:68114342
rs12369214-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,RIC8B,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:106804833
rs3184504-<b>?</b>,"4 x 10-10","(subset analysis)",NR,'-,'-,'-,"SH2B3, ATXN2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,12:111446804
rs17085007-<b>?</b>,"2 x 10-13","(subset analysis)",NR,'-,'-,'-,"AL160035.1, FGFR1OP2P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,13:26957130
rs941823-<b>?</b>,"7 x 10-11","(subset analysis)",NR,'-,'-,'-,LINC00598,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,13:40439840
rs6561151-<b>?</b>,"1 x 10-22","(subset analysis)",NR,'-,'-,'-,"NRAD1, AL512506.3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,13:43910570
rs2026029-<b>?</b>,"1 x 10-7","(subset analysis)",NR,'-,'-,'-,FNDC3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,13:49021195
rs9554587-<b>?</b>,"9 x 10-10","(subset analysis)",NR,'-,'-,'-,"UBAC2, CCR12P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,13:99388400
rs2145623-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,"AL133163.1, AL133163.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,14:35370030
rs8006884-<b>?</b>,"7 x 10-10","(subset analysis)",NR,'-,'-,'-,"PPP2R3C, FAM177A1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,14:35094005
rs12879003-<b>?</b>,"3 x 10-7","(subset analysis)",NR,'-,'-,'-,"PSMA6, AL133163.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,14:35359535
rs1569328-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,"AF111167.1, FOS","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,14:75275048
rs11624293-<b>?</b>,"2 x 10-17","(subset analysis)",NR,'-,'-,'-,LINC01147,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,14:88022477
rs16967103-<b>?</b>,"5 x 10-9","(subset analysis)",NR,'-,'-,'-,"RASGRP1, LINC02694","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,15:38606989
rs17293632-<b>?</b>,"1 x 10-16","(subset analysis)",NR,'-,'-,'-,SMAD3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,15:67150258
rs35874463-<b>?</b>,"1 x 10-11","(subset analysis)",NR,'-,'-,'-,SMAD3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,15:67165360
rs367569-<b>?</b>,"5 x 10-14","(subset analysis)",NR,'-,'-,'-,RMI2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:11271643
rs11649613-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,"HNRNPCP4, AC007220.1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:11225500
rs8061882-<b>?</b>,"3 x 10-7","(subset analysis)",NR,'-,'-,'-,"AC007014.1, CLEC16A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:11067551
rs7195296-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,"SNN, LITAF","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:11655918
rs7404095-<b>?</b>,"3 x 10-9","(subset analysis)",NR,'-,'-,'-,PRKCB,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:23853269
rs26528-<b>?</b>,"3 x 10-29","(subset analysis)",NR,'-,'-,'-,IL27,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:28506388
rs34670647-<b>?</b>,"4 x 10-30","(subset analysis)",NR,'-,'-,'-,"MAPK3, CORO1A","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:30159695
rs11574938-<b>?</b>,"5 x 10-14","(subset analysis)",NR,'-,'-,'-,ITGAL,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:30474072
rs1870293-<b>?</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,SETD1A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:30959620
rs2066845-<b>?</b>,"6 x 10-94","(subset analysis)",NR,'-,'-,'-,NOD2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:50722629
rs2357623-<b>?</b>,"4 x 10-48","(subset analysis)",NR,'-,'-,'-,"NKD1, AC007608.3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:50660100
rs72796367-<b>?</b>,"1 x 10-16","(subset analysis)",NR,'-,'-,'-,"AC007728.2, NOD2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:50728860
rs5743293-<b>?</b>,"1 x 10-320","(subset analysis)",NR,'-,'-,'-,"NOD2, AC007728.2","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:50729868
rs11117431-<b>?</b>,"5 x 10-16","(subset analysis)",NR,'-,'-,'-,AC092723.4,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:85981710
rs12932970-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,AC092723.4,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",GCST005537,16:85970504
rs2945412-<b>A</b>,"9 x 10-17",,0.587,1.137,'-,[1.10-1.175],KSR1,"Crohn's disease","Crohn's disease",GCST001729,17:27516617
rs13126505-<b>A</b>,"2 x 10-12",,0.096,1.172,'-,[1.10-1.248],BANK1,"Crohn's disease","Crohn's disease",GCST001729,4:101944147
rs10865331-<b>A</b>,"1 x 10-9",,0.396,1.098,'-,[1.062-1.134],"AC093159.2, RN7SL51P","Crohn's disease","Crohn's disease",GCST001729,2:62324337
rs10065637-<b>C</b>,"4 x 10-12",,0.773,1.123,'-,[1.079-1.17],ANKRD55,"Crohn's disease","Crohn's disease",GCST001729,5:56143024
rs516246-<b>T</b>,"1 x 10-15",,0.483,1.107,'-,[1.071-1.143],FUT2,"Crohn's disease","Crohn's disease",GCST001729,19:48702915
rs2284553-<b>G</b>,"2 x 10-16",,0.599,1.123,'-,[1.086-1.162],IFNGR2,"Crohn's disease","Crohn's disease",GCST001729,21:33404389
rs12663356-<b>C</b>,"4 x 10-12",,0.533,1.095,'-,[1.06-1.131],"LINC00581, AL031767.2","Crohn's disease","Crohn's disease",GCST001729,6:21430497
rs6716753-<b>C</b>,"1 x 10-16",,0.196,1.134,'-,[1.089-1.18],SP140,"Crohn's disease","Crohn's disease",GCST001729,2:230232414
rs10486483-<b>A</b>,"3 x 10-8",,0.247,1.089,'-,[1.048-1.13],SKAP2,"Crohn's disease","Crohn's disease",GCST001729,7:26852821
rs6679677-<b>C</b>,"2 x 10-15",,0.907,1.196,'-,[1.129-1.268],"PHTF1, RSBN1","Crohn's disease","Crohn's disease",GCST001729,1:113761186
rs3897478-<b>T</b>,"2 x 10-11",,0.891,1.161,'-,[1.101-1.224],"NOTCH2, ADAM30","Crohn's disease","Crohn's disease",GCST001729,1:119908567
rs6651252-<b>T</b>,"1 x 10-16",,0.865,1.185,'-,[1.128-1.246],LINC00824,"Crohn's disease","Crohn's disease",GCST001729,8:128554935
rs3764147-<b>G</b>,"2 x 10-21",,0.248,1.155,'-,[1.112-1.199],LACC1,"Crohn's disease","Crohn's disease",GCST001729,13:43883789
rs16967103-<b>C</b>,"4 x 10-9",,0.203,1.088,'-,[1.045-1.132],"RASGRP1, LINC02694","Crohn's disease","Crohn's disease",GCST001729,15:38606989
rs212388-<b>C</b>,"3 x 10-14",,0.41,1.105,'-,[1.069-1.141],"AL035530.1, AL035530.2, AL356417.3","Crohn's disease","Crohn's disease",GCST001729,6:159069404
rs2024092-<b>A</b>,"8 x 10-22",,0.215,1.156,'-,[1.112-1.201],SBNO2,"Crohn's disease","Crohn's disease",GCST001729,19:1124032
rs4802307-<b>G</b>,"2 x 10-10",,0.706,1.099,'-,[1.06-1.139],"HIF3A, PPP5C","Crohn's disease","Crohn's disease",GCST001729,19:46346549
rs1728918-<b>A</b>,"5 x 10-16",,0.299,1.123,'-,[1.086-1.16],"NRBP1, PPM1G","Crohn's disease","Crohn's disease",GCST001729,2:27412596
rs17391694-<b>C</b>,"3 x 10-9",,0.889,1.134,'-,[1.077-1.194],"GIPC2, RNFT1P2","Crohn's disease","Crohn's disease",GCST001729,1:78157942
rs9491697-<b>G</b>,"4 x 10-10",,0.439,1.077,'-,[1.042-1.112],"AL356534.1, RSPO3","Crohn's disease","Crohn's disease",GCST001729,6:127134977
rs13204742-<b>T</b>,"8 x 10-15",,0.124,1.173,'-,[1.118-1.23],"THEMIS, PTPRK","Crohn's disease","Crohn's disease",GCST001729,6:127924620
rs7702331-<b>A</b>,"6 x 10-10",,0.621,1.088,'-,[1.05-1.126],AC116345.1,"Crohn's disease","Crohn's disease",GCST001729,5:73255307
rs17695092-<b>T</b>,"5 x 10-9",,0.703,1.095,'-,[1.055-1.136],CPEB4,"Crohn's disease","Crohn's disease",GCST001729,5:173910850
rs9264942-<b>C</b>,"5 x 10-28",,0.378,1.145,'-,[1.107-1.184],HLA-B,"Crohn's disease","Crohn's disease",GCST001729,6:31306603
rs12994997-<b>A</b>,"4 x 10-70",,0.523,1.233,'-,[1.193-1.274],ATG16L1,"Crohn's disease","Crohn's disease",GCST001729,2:233264857
rs6837335-<b>G</b>,"2 x 10-8",,0.647,1.086,'-,[1.049-1.123],SLAIN2,"Crohn's disease","Crohn's disease",GCST001729,4:48361966
rs9286879-<b>G</b>,"6 x 10-22",,0.249,1.125,'-,[1.083-1.167],AL031599.1,"Crohn's disease","Crohn's disease",GCST001729,1:172893094
rs864745-<b>T</b>,"4 x 10-9",,0.497,1.087,'-,[1.052-1.123],JAZF1,"Crohn's disease","Crohn's disease",GCST001729,7:28140937
rs7015630-<b>T</b>,"1 x 10-8",,0.739,1.075,'-,[1.035-1.116],"AF117829.2, RNU6-925P","Crohn's disease","Crohn's disease",GCST001729,8:89863690
rs2066847-<b>T</b>,"6 x 10-209",,0.024,3.103,'-,[1.497-1.618],"AC007728.2, NOD2","Crohn's disease","Crohn's disease",GCST001729,16:50729868
rs7807268-<b>G</b>,"4 x 10-6",,0.46,1.38,'-,[1.20-1.60],AC006974.2,"Crohn's disease","Crohn's disease",GCST000042,7:148560956
rs10210302-<b>T</b>,"5 x 10-14",,0.48,1.19,'-,[1.01-1.41],ATG16L1,"Crohn's disease","Crohn's disease",GCST000042,2:233250193
rs11805303-<b>T</b>,"6 x 10-12",,0.32,1.39,'-,[1.22-1.58],"C1orf141, IL23R","Crohn's disease","Crohn's disease",GCST000042,1:67209833
rs10883365-<b>G</b>,"6 x 10-8",,0.48,1.2,'-,[1.03-1.39],"AL513542.1, LINC01475","Crohn's disease","Crohn's disease",GCST000042,10:99528007
rs6596075-<b>C</b>,"3 x 10-6",,0.17,1.55,'-,[1.00-2.39],"SLC22A5, IRF1-AS1","Crohn's disease","Crohn's disease",GCST000042,5:132406536
rs9858542-<b>A</b>,"4 x 10-8",,0.28,1.09,'-,[0.96-1.24],BSN,"Crohn's disease","Crohn's disease",GCST000042,3:49664550
rs1000113-<b>T</b>,"3 x 10-7",,0.07,1.54,'-,[1.31-1.82],IRGM,"Crohn's disease","Crohn's disease",GCST000042,5:150860514
rs2542151-<b>G</b>,"2 x 10-7",,0.16,1.3,'-,[1.14-1.48],"PTPN2, AP005482.2","Crohn's disease","Crohn's disease",GCST000042,18:12779948
